,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
16,0.902,https://api.spotify.com/v1/audio-analysis/0tCo7SXqbaKMynRSkPd2QY,0.263,348053,0.376,0tCo7SXqbaKMynRSkPd2QY,0.918,10,0.107,-12.531,0,0.0639,121.461,4,https://api.spotify.com/v1/tracks/0tCo7SXqbaKMynRSkPd2QY,audio_features,spotify:track:0tCo7SXqbaKMynRSkPd2QY,0.142
17,0.924,https://api.spotify.com/v1/audio-analysis/6ALWsAWq3bZmKBNnVKcMJG,0.25,288678,0.301,6ALWsAWq3bZmKBNnVKcMJG,0.911,11,0.111,-12.649,0,0.033,103.761,4,https://api.spotify.com/v1/tracks/6ALWsAWq3bZmKBNnVKcMJG,audio_features,spotify:track:6ALWsAWq3bZmKBNnVKcMJG,0.0386
18,0.595,https://api.spotify.com/v1/audio-analysis/1Vt4kRdsia6BaOnVjFCQsX,0.238,328556,0.178,1Vt4kRdsia6BaOnVjFCQsX,0.451,7,0.112,-19.082,1,0.0405,115.69,4,https://api.spotify.com/v1/tracks/1Vt4kRdsia6BaOnVjFCQsX,audio_features,spotify:track:1Vt4kRdsia6BaOnVjFCQsX,0.0287
19,0.641,https://api.spotify.com/v1/audio-analysis/7pfkGEKA49INS9fn9jKJaD,0.261,235942,0.626,7pfkGEKA49INS9fn9jKJaD,0.000597,7,0.143,-6.332,1,0.0523,125.855,3,https://api.spotify.com/v1/tracks/7pfkGEKA49INS9fn9jKJaD,audio_features,spotify:track:7pfkGEKA49INS9fn9jKJaD,0.0935
20,0.867,https://api.spotify.com/v1/audio-analysis/5l3BX79NA7H1MOD5Nfd8up,0.205,210146,0.302,5l3BX79NA7H1MOD5Nfd8up,0.897,4,0.0922,-28.587,1,0.0773,87.132,4,https://api.spotify.com/v1/tracks/5l3BX79NA7H1MOD5Nfd8up,audio_features,spotify:track:5l3BX79NA7H1MOD5Nfd8up,0.0511
21,0.947,https://api.spotify.com/v1/audio-analysis/59RiOyD4WGyNOd5Yh7mZtN,0.458,257305,0.114,59RiOyD4WGyNOd5Yh7mZtN,0.00184,0,0.118,-13.966,1,0.0274,67.891,4,https://api.spotify.com/v1/tracks/59RiOyD4WGyNOd5Yh7mZtN,audio_features,spotify:track:59RiOyD4WGyNOd5Yh7mZtN,0.0379
22,0.965,https://api.spotify.com/v1/audio-analysis/544wUGXgCtJX8Kgaa1iNyn,0.411,215965,0.474,544wUGXgCtJX8Kgaa1iNyn,0.365,4,0.102,-11.328,0,0.0336,80.064,4,https://api.spotify.com/v1/tracks/544wUGXgCtJX8Kgaa1iNyn,audio_features,spotify:track:544wUGXgCtJX8Kgaa1iNyn,0.082
23,0.129,https://api.spotify.com/v1/audio-analysis/7aP2HavIcTtEznySmt0myq,0.304,212674,0.918,7aP2HavIcTtEznySmt0myq,0.183,4,0.18,-3.25,0,0.0694,105.277,4,https://api.spotify.com/v1/tracks/7aP2HavIcTtEznySmt0myq,audio_features,spotify:track:7aP2HavIcTtEznySmt0myq,0.355
24,0.837,https://api.spotify.com/v1/audio-analysis/22QnkXp8wmJh6DmjkH2HfE,0.65,232831,0.423,22QnkXp8wmJh6DmjkH2HfE,0.0159,4,0.109,-10.132,0,0.0419,206.118,4,https://api.spotify.com/v1/tracks/22QnkXp8wmJh6DmjkH2HfE,audio_features,spotify:track:22QnkXp8wmJh6DmjkH2HfE,0.457
25,0.933,https://api.spotify.com/v1/audio-analysis/50PvTiqi0cZne4mKR7HRck,0.689,60000,0.289,50PvTiqi0cZne4mKR7HRck,2.18e-06,9,0.104,-9.519,1,0.0932,131.238,3,https://api.spotify.com/v1/tracks/50PvTiqi0cZne4mKR7HRck,audio_features,spotify:track:50PvTiqi0cZne4mKR7HRck,0.323
26,0.806,https://api.spotify.com/v1/audio-analysis/4lLdrM9fpLA1Pcng9WNMLp,0.554,60000,0.155,4lLdrM9fpLA1Pcng9WNMLp,0.145,0,0.105,-18.272,1,0.469,151.29,5,https://api.spotify.com/v1/tracks/4lLdrM9fpLA1Pcng9WNMLp,audio_features,spotify:track:4lLdrM9fpLA1Pcng9WNMLp,0.325
